Body,Head
?b participatedIn ?a,?a isLocatedIn ?b
?a actedIn ?c   ?b actedIn ?c,?a isMarriedTo ?b
?a isMarriedTo ?c   ?b hasChild ?c,?a hasChild ?b
?a graduatedFrom ?c   ?b graduatedFrom ?c,?a hasAcademicAdvisor ?b
?a isConnectedTo ?c   ?c http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a livesIn ?b,?a created ?b
?a isCitizenOf ?c   ?c isLocatedIn ?b,?a isCitizenOf ?b
?a exports ?c   ?b imports ?c,?a hasNeighbor ?b
?a wasBornIn ?c   ?b diedIn ?c,?a influences ?b
?c created ?a   ?c hasWonPrize ?b,?a hasWonPrize ?b
?c isMarriedTo ?a   ?c livesIn ?b,?a wasBornIn ?b
?c influences ?a   ?c isInterestedIn ?b,?a isInterestedIn ?b
?c hasAcademicAdvisor ?a   ?c isCitizenOf ?b,?a livesIn ?b
?c influences ?a   ?b isInterestedIn ?c,?a influences ?b
?c hasNeighbor ?a   ?c participatedIn ?b,?a participatedIn ?b
?a hasNeighbor ?c   ?c hasNeighbor ?b,?a hasNeighbor ?b
?c influences ?a   ?c hasGender ?b,?a hasGender ?b
?c isMarriedTo ?a   ?c diedIn ?b,?a diedIn ?b
?a wasBornIn ?c   ?b hasCapital ?c,?a isPoliticianOf ?b
?c isLocatedIn ?a   ?b isLocatedIn ?c,?a isLocatedIn ?b
?a diedIn ?c   ?b diedIn ?c,?a hasChild ?b
?a playsFor ?c   ?c owns ?b,?a wasBornIn ?b
?c graduatedFrom ?a   ?c isPoliticianOf ?b,?a isLocatedIn ?b
?a happenedIn ?c   ?c isLocatedIn ?b,?a isLocatedIn ?b
?a isLocatedIn ?c   ?b hasNeighbor ?c,?a isLocatedIn ?b
?a diedIn ?c   ?b wasBornIn ?c,?a influences ?b
?c isMarriedTo ?a   ?c hasChild ?b,?a hasChild ?b
?a directed ?b,?a wroteMusicFor ?b
?a dealsWith ?c   ?c dealsWith ?b,?a isLocatedIn ?b
?b dealsWith ?a,?a dealsWith ?b
?a isCitizenOf ?c   ?c hasCapital ?b,?a wasBornIn ?b
?a isMarriedTo ?c   ?c created ?b,?a created ?b
?a isAffiliatedTo ?b,?a playsFor ?b
?a wasBornIn ?c   ?c isLocatedIn ?b,?a isCitizenOf ?b
