Body,Head
?c child ?a   ?c child ?d   ?b child ?d,?a predecessor ?b
?b father ?c,Louis_XIV parent ?b
?c name ?a   ?c name ?d   ?b spouse ?d,?a father ?b
?b hasSpouse ?c,Maria_Beatrice_of_Savoy child ?b
?c child ?a   ?c successor ?d   ?b child ?d,?a parent ?b
?c successor ?a   ?c mother ?d   ?d child ?b,?a successor ?b
"?b gender ""female""",Philip_II_of_France spouse ?b
?a predecessor Maria_Theresa,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?c parent ?b,Marie_Th_r_se_of_France parent ?b
Louis_Philippe_I successor ?a,"?a gender ""male"""
?a mother ?c,?a parent Philip_IV_of_France
?b hasSpouse ?c,Claude_of_France child ?b
Ermengarde_of_Hesbaye child ?b,Louis_the_Pious successor ?b
?a child Jacques_of_Savoy_Count_of_Romont,?a child Amadeus_IX_Duke_of_Savoy
?a child Henry_III_of_France,?a child Charles_IX_of_France
?a child Princess_Maria_Carolina_of_Savoy,?a child Maria_Anna_of_Savoy_Duchess_of_Chablais
?a name ?c,?a parent Ferdinand_I_Holy_Roman_Emperor
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Christine_of_France
?a gender ?c,?a parent Charles_V_of_France
Leopold_II_Holy_Roman_Emperor parent ?a,?a child Archduchess_Maria_Elisabeth_of_Austria_born_1737
?c spouse ?b,Louis_IX_of_France child ?b
?a name ?c,?a child Louis_Count_of__vreux
?a father ?c,?a child Charles_Felix_of_Sardinia
?c predecessor ?a,?a name John_II
?b child ?c,Louis_I_Duke_of_Orl_ans parent ?b
"?b gender ""male""",Charles_VI_Holy_Roman_Emperor successor ?b
?b father ?c,Maximilian_II_Holy_Roman_Emperor parent ?b
?b child Archduchess_Maria_Anna_of_Austria_born_1738,Maria_Carolina_of_Austria parent ?b
?b child Adela_of_France,Robert_I_Duke_of_Burgundy parent ?b
?b successor ?a,?a father ?b
?a hasSpouse Yes,?a child Prince_Philippe_Count_of_Paris
?a gender ?c,?a child Claude_of_France
Alfonso_XI_of_Castile spouse ?a,?a spouse Alfonso_XI_of_Castile
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Blanche_of_Burgundy parent ?b
?a spouse ?c,?a child Marie_of_Orl_ans_Viscountess_of_Narbonne
Adelaide_of_Paris parent ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b successor ?a,?a successor ?b
?c child ?a   ?d father ?c   ?d gender ?b,?a gender ?b
?a hasSpouse Yes,?a name Henry_III
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a mother Joanna_of_Castile
?c successor ?a   ?c parent ?d   ?d spouse ?b,?a parent ?b
?a hasSpouse ?c,?a child Prince_Philippe_Count_of_Paris
?a child ?c,?a child Louis_Philippe_I
?b hasSpouse ?c,Judith_of_Bavaria_died_843 parent ?b
?b gender ?c,Maria_Carolina_of_Austria child ?b
Ren__of_Anjou child ?a,?a hasSpouse No
Maria_Josepha_of_Austria child ?a,?a parent Maria_Josepha_of_Austria
Philip_III_of_France child ?b,Marie_of_Brabant_Queen_of_France child ?b
?b child Sophie_of_France_1786_1787,Marie_Th_r_se_of_France parent ?b
?a parent Gertrude_of_Hohenberg,?a father Rudolf_I_of_Germany
?b hasSpouse ?c,Anne_of_Brittany child ?b
Charles_the_Fat parent ?a,?a hasSpouse Yes
?a predecessor ?b,?a parent ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,John_of_Bohemia child ?b
?a father ?c,?a child John_Tristan_Count_of_Valois
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,?a child Princess_Elizabeth_of_Great_Britain
?a child ?c,?a father Charles_V_Holy_Roman_Emperor
?c successor ?a   ?d father ?c   ?d mother ?b,?a mother ?b
?a child Igor_Yaroslavich,?a child Anne_of_Kiev
?b hasSpouse ?c,Afonso_III_of_Portugal child ?b
?c child ?a,?a parent Maria_Anna_Victoria_of_Bavaria
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a successor Willa_of_Tuscany
?a gender ?c,?a successor Victor_Amadeus_II_of_Sardinia
?b mother ?c,Louis_Dauphin_of_France_son_of_Louis_XIV child ?b
?b child Archduchess_Maria_Theresa_of_Austria_Este_1817_1886,Archduchess_Maria_Theresa_of_Austria_Este_1817_1886 parent ?b
?a hasSpouse ?c   ?d hasSpouse ?c   ?d spouse ?b,?a spouse ?b
?a gender ?c,?a child Alix_of_France
?a parent Joanna_of_Bourbon,?a parent Charles_V_of_France
?a parent ?c,?a child Charles_Felix_of_Sardinia
?b gender ?c,Robert_I_Duke_of_Burgundy spouse ?b
?b hasSpouse ?c,Margaret_of_Valois_Angoul_me parent ?b
?b spouse ?c,Joan_Beaufort_Queen_of_Scots parent ?b
?b mother ?c,Marie_Jos_phine_of_Savoy parent ?b
?b father ?c,Philip_II_of_France parent ?b
?a successor ?c,?a child Prince_Philippe_Duke_of_Orl_ans_1869_1926
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Henry_I_of_France spouse ?b
?c spouse ?a,?a predecessor Henry_of_Bohemia
?a child ?c,?a predecessor Henry_of_Bohemia
?a successor Louis_VIII_of_France,?a hasSpouse Yes
?b child Charles_of_Valois_Duke_of_Berry,Louis_XI parent ?b
?a spouse ?c   ?c spouse ?b,?a spouse ?b
?a father Louis_Duke_of_Savoy,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
Anne_of_Brittany child ?b,Louis_XII child ?b
?a spouse ?c,?a name Philip_III
?a child Eleanor_of_Aragon_Queen_of_Portugal,?a hasSpouse Yes
?c predecessor ?a,?a predecessor Rudolph_II_of_Burgundy
?b hasSpouse ?c,Salomea_of_Berg child ?b
?a father ?c,?a child Anne_of_Kiev
?a parent ?c,?a child John_Tristan_Count_of_Valois
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c   ?b parent ?d,?a successor ?b
?c predecessor ?a   ?d parent ?c   ?d gender ?b,?a gender ?b
?a hasSpouse ?c,?a father Philippe_I_Duke_of_Orl_ans
"?b gender ""female""",Louis_the_Stammerer spouse ?b
?a name ?c,?a parent John_Constable_of_Portugal
?c spouse ?b,Agnes_of_France_Duchess_of_Burgundy parent ?b
?c mother ?a,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?c,Henry_IV_of_France spouse ?b
?a parent ?c   ?c hasSpouse ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,?a predecessor Louis_XII
?a child ?c,?a child Louis_XII
?c child ?b,Edward_I_of_England parent ?b
?c successor ?a,?a name Henry_III
?c parent ?a,?a child Charlotte_of_Savoy
?a parent ?c,?a parent Hugh_IV_Duke_of_Burgundy
?c child ?b,Marie_of_Anjou child ?b
?c child ?b,Charles_VI_Holy_Roman_Emperor predecessor ?b
?b spouse ?c,John_II_of_France parent ?b
?c successor ?a   ?c gender ?b,?a gender ?b
?a father ?c,?a child Yolande_of_Valois
?c spouse ?a   ?c name ?d   ?d http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b,?a http://www.w3.org/1999/02/22-rdf-syntax-ns#type ?b
?c parent ?a,?a name John_Stewart
?b gender ?c,James_V_of_Scotland parent ?b
?a gender ?c,?a parent Gaston_IV_Count_of_Foix
Philip_II_Duke_of_Savoy parent ?a,?a child Jacques_of_Savoy_Count_of_Romont
Ramon_Berenguer_IV_Count_of_Provence child ?b,Beatrice_of_Savoy child ?b
?b http://www.w3.org/1999/02/22-rdf-syntax-ns#type Person,Wilhelmine_Amalie_of_Brunswick child ?b
