Body,Head
?a successor ?b,?a predecessor ?b
?b predecessor ?a,?a predecessor ?b
?b successor ?a,?a predecessor ?b
?a parent ?b,?a predecessor ?b
?a spouse ?b,?a predecessor ?b
?a mother ?b,?a predecessor ?b
?a father ?b,?a predecessor ?b
?b child ?a,?a predecessor ?b
?b spouse ?a,?a predecessor ?b
?b predecessor ?a,?a successor ?b
?b parent ?a,?a successor ?b
?b father ?a,?a successor ?b
?b mother ?a,?a successor ?b
?b spouse ?a,?a successor ?b
?b successor ?a,?a successor ?b
?a child ?b,?a successor ?b
?a predecessor ?b,?a successor ?b
?a spouse ?b,?a successor ?b
?b child ?a,?a mother ?b
?b successor ?a,?a mother ?b
?a parent ?b,?a mother ?b
?a predecessor ?b,?a mother ?b
?b child ?a,?a father ?b
?b successor ?a,?a father ?b
?a predecessor ?b,?a father ?b
?a parent ?b,?a father ?b
?b name ?a,?a name ?b
?b spouse ?a,?a spouse ?b
?b successor ?a,?a parent ?b
?a father ?b,?a parent ?b
?a mother ?b,?a parent ?b
?a predecessor ?b,?a parent ?b
?b child ?a,?a parent ?b
?b father ?a,?a child ?b
?b parent ?a,?a child ?b
?b mother ?a,?a child ?b
?b predecessor ?a,?a child ?b
?a successor ?b,?a child ?b
?a predecessor ?c   ?c successor ?b,?a predecessor ?b
?a predecessor ?c   ?b name ?c,?a predecessor ?b
?a predecessor ?c   ?b spouse ?c,?a predecessor ?b
?a predecessor ?c   ?c predecessor ?b,?a predecessor ?b
?a predecessor ?c   ?c parent ?b,?a predecessor ?b
?a predecessor ?c   ?c name ?b,?a predecessor ?b
?a predecessor ?c   ?b parent ?c,?a predecessor ?b
?a predecessor ?c   ?c child ?b,?a predecessor ?b
?a predecessor ?c   ?b predecessor ?c,?a predecessor ?b
?a predecessor ?c   ?c spouse ?b,?a predecessor ?b
?a predecessor ?c   ?b successor ?c,?a predecessor ?b
?a predecessor ?c   ?b child ?c,?a predecessor ?b
?a name ?c   ?c predecessor ?b,?a predecessor ?b
?a name ?c   ?b successor ?c,?a predecessor ?b
?a parent ?c   ?c name ?b,?a predecessor ?b
?a parent ?c   ?c successor ?b,?a predecessor ?b
?a parent ?c   ?c spouse ?b,?a predecessor ?b
